eventId,title,startDate,address,imageUrl
17G8vOG61XXxeha,Francois Bellefeuille,2025-01-31 20:00:00,"1100, boulevard Taschereau, La Prairie, Quebec, Canada",https://s1.ticketm.net/dam/a/63f/d69016b6-639f-4191-aa9b-5ea833de063f_SOURCE
17G8vOG62rZu-LG,HOL! - The Brulure Tour,2025-01-31 22:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/ba7/b616070f-6cc0-4d1b-b160-0bbecaafaba7_SOURCE
17G8vOG6CpOzsMn,MEDINE,2025-01-31 19:00:00,"2490 Rue Notre-Dame Ouest , Montreal, Quebec, Canada",https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_TABLET_LANDSCAPE_LARGE_16_9.jpg
1Ad7ZboGkgYZYMk,Laval Rocket vs. Hartford Wolf Pack,2025-01-31 19:00:00,"1950 Rue Claude-Gagne, Laval, Quebec, Canada",https://s1.ticketm.net/dam/a/3cd/9267dbdd-f12f-44b9-b81f-8503945aa3cd_SOURCE
1Ad7ZbpGkICU0rz,Bellaire,2025-01-31 20:00:00,"305, rue Ste-Catherine Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/129/cbe1df39-f719-4dde-9101-34b5e0707129_SOURCE
1AsZk7fGkdWUNQJ,Lions de Trois-Rivieres v Maine Mariners,2025-01-31 19:00:00,"6000, rue du Colisée, Trois-Rivieres, Quebec, Canada",https://s1.ticketm.net/dam/a/7a3/5c82ced4-58b7-4727-be7e-abb6d91cd7a3_SOURCE
1AsZkA3Gkd9zVJS,Billy Tellier,2025-01-31 20:00:00,"9200 Boulevard Leduc, Brossard, Quebec, Canada",https://s1.ticketm.net/dam/a/84b/137fce36-161c-4729-b6bd-5ecf7244884b_SOURCE
1AsZkAIGkd5NSPy,Dominic Paquet,2025-01-31 20:00:00,"6000 Boulevard Rome, Brossard, Quebec, Canada",https://s1.ticketm.net/dam/a/030/ab30f67e-0518-4b4f-bf50-bbfb8f735030_SOURCE
1kG8v-f8GACgARD,Back to the 80s - Le meilleur des années 80,2025-01-31 20:30:00,"463 Sainte-Catherine Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_TABLET_LANDSCAPE_LARGE_16_9.jpg
LvZ18_SzMMv4_dZZ-vj-8,EZEQUIEL ARIAS,2025-01-31 22:00:00,"1403 Rue Sainte Elisabeth, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_TABLET_LANDSCAPE_LARGE_16_9.jpg
